activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication d'autres fils et câbles électroniques ou électriques;Fabrication d'autres fils et câbles électroniques ou électriques;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Édition de journaux;Édition de journaux;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Commerce de détail de produits surgelés;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de produits azotés et d'engrais;Fabrication de produits azotés et d'engrais;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Centrales d'achat non alimentaires;Intermédiaires du commerce en produits divers;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de vêtements de dessus;Fabrication de vêtements de dessus;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Fabrication d'appareils d'éclairage électrique;Fabrication d'appareils d'éclairage électrique;Fabrication d'appareils d'éclairage électrique;Fabrication d'équipements électriques;Industrie manufacturière
Évaluation des risques et dommages;Évaluation des risques et dommages;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Fabrication de moules et modèles;Fabrication d'outillage;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication d'autres produits chimiques n.c.a.;Fabrication d'autres produits chimiques n.c.a.;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Location et location-bail de matériels de transport aérien;Location et location-bail de matériels de transport aérien;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Autre distribution de crédit;Autre distribution de crédit;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Sciage et rabotage du bois, hors imprégnation;Sciage et rabotage du bois;Sciage et rabotage du bois;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
