activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication de matériel de distribution et de commande électrique;Fabrication de matériel de distribution et de commande électrique;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication d'équipements électriques;Industrie manufacturière
Activités des centres de culture physique;Activités des centres de culture physique;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Édition et diffusion de programmes radio;Édition et diffusion de programmes radio;Édition et diffusion de programmes radio;Programmation et diffusion;Information et communication
Accueil ou accompagnement sans hébergement d'enfants handicapés;Action sociale sans hébergement pour jeunes enfants;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Location et location-bail de matériels de transport par eau;Location et location-bail de matériels de transport par eau;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Construction d'autres ouvrages de génie civil n.c.a.;Construction d'autres ouvrages de génie civil n.c.a.;Construction d'autres ouvrages de génie civil;Génie civil;Construction
Autre imprimerie (labeur);Autre imprimerie (labeur);Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication de fibres de verre;Fabrication de fibres de verre;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Imprimerie de journaux;Imprimerie de journaux;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Extraction de pierres, de sables et d'argiles;Autres industries extractives;Industries extractives
Affaires étrangères;Affaires étrangères;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication de câbles de fibres optiques;Fabrication de câbles de fibres optiques;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Construction de routes et autoroutes;Construction de routes et autoroutes;Construction de routes et de voies ferrées;Génie civil;Construction
Commerce de gros (commerce interentreprises) de mobilier de bureau;Commerce de gros de mobilier de bureau;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Travaux d'installation d'équipements thermiques et de climatisation;Travaux de plomberie et installation de chauffage et de conditionnement d'air;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Supports juridiques de gestion de patrimoine mobilier;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Construction de véhicules automobiles;Construction de véhicules automobiles;Construction de véhicules automobiles;Industrie automobile;Industrie manufacturière
Fabrication d'autres produits alimentaires n.c.a.;Fabrication d'autres produits alimentaires n.c.a.;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Contrôle technique automobile;Activités de contrôle et analyses techniques;Activités de contrôle et analyses techniques;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Activités de conditionnement;Activités de conditionnement;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication d'autres meubles et industries connexes de l'ameublement;Fabrication d'autres meubles;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Fabrication d'articles en fourrure;Fabrication d'articles en fourrure;Fabrication d'articles en fourrure;Industrie de l'habillement;Industrie manufacturière
Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Blanchisserie-teinturerie de détail;Blanchisserie-teinturerie;Autres services personnels;Autres services personnels;Autres activités de services
Enseignement de disciplines sportives et d'activités de loisirs;Enseignement de disciplines sportives et d'activités de loisirs;Autres activités d'enseignement;Enseignement;Enseignement
Fabrication d'autres produits céramiques à usage technique;Fabrication d'autres produits céramiques à usage technique;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Culture et élevage associés;Culture et élevage associés;Culture et élevage associés;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres produits céramiques;Fabrication d'autres produits céramiques;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités liées aux systèmes de sécurité;Activités liées aux systèmes de sécurité;Activités liées aux systèmes de sécurité;Enquêtes et sécurité;Activités de services administratifs et de soutien
Fabrication de chaux et plâtre;Fabrication de chaux et plâtre;Fabrication de ciment, chaux et plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Reliure et activités connexes;Reliure et activités connexes;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Cafétérias et autres libres-services;Restaurants et services de restauration mobile;Restaurants et services de restauration mobile;Restauration;Hébergement et restauration
Hébergement social pour personnes âgées;Hébergement social pour personnes âgées ou handicapées physiques;Hébergement social pour personnes âgées ou handicapées physiques;Hébergement médico-social et social;Santé humaine et action sociale
Organisation de foires, salons professionnels et congrès;Organisation de salons professionnels et congrès;Organisation de salons professionnels et congrès;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Autres services de restauration n.c.a.;Autres services de restauration;Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Élevage de volailles;Élevage de volailles;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Transports maritimes et côtiers de passagers;Transports maritimes et côtiers de passagers;Transports maritimes et côtiers de passagers;Transports par eau;Transports et entreposage
Distribution sociale de revenus;Sécurité sociale obligatoire;Sécurité sociale obligatoire;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication d'engrenages et d'organes mécaniques de transmission;Fabrication d'engrenages et d'organes mécaniques de transmission;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Location et location-bail de camions;Location et location-bail de camions;Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Réparation d'autres équipements;Réparation d'autres équipements;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Reproduction d'enregistrements;Reproduction d'enregistrements;Reproduction d'enregistrements;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication d'appareils ménagers non électriques;Fabrication d'appareils ménagers non électriques;Fabrication d'appareils ménagers;Fabrication d'équipements électriques;Industrie manufacturière
Commerce de gros (commerce interentreprises) de boissons;Commerce de gros de boissons;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des parcs d'attractions et parcs à thèmes;Activités des parcs d'attractions et parcs à thèmes;Activités récréatives et de loisirs;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Extraction de gaz naturel;Extraction de gaz naturel;Extraction de gaz naturel;Extraction d'hydrocarbures;Industries extractives
Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques;Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Services funéraires;Services funéraires;Autres services personnels;Autres services personnels;Autres activités de services
Affrètement et organisation des transports;Autres services auxiliaires des transports;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Travaux de terrassement courants et travaux préparatoires;Travaux de préparation des sites;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Culture de plantes à boissons;Culture de plantes à boissons;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Élevage de chameaux et d'autres camélidés;Élevage de chameaux et d'autres camélidés;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres assurances;Autres assurances;Assurance;Assurance;Activités financières et d'assurance
Travaux d'installation électrique sur la voie publique;Installation électrique;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Réparation de matériels électroniques et optiques;Réparation de matériels électroniques et optiques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;Autre action sociale sans hébergement n.c.a.;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Justice;Justice;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Activités des agences de publicité;Activités des agences de publicité;Publicité;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Gestion d'installations sportives;Gestion d'installations sportives;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Autres hébergements;Autres hébergements;Autres hébergements;Hébergement;Hébergement et restauration
Préparation de fibres textiles et filature;Préparation de fibres textiles et filature;Préparation de fibres textiles et filature;Fabrication de textiles;Industrie manufacturière
Hôtels et hébergement similaire;Hôtels et hébergement similaire;Hôtels et hébergement similaire;Hébergement;Hébergement et restauration
Activités de pré-presse;Activités de pré-presse;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles;Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'aliments pour animaux de ferme;Fabrication d'aliments pour animaux de ferme;Fabrication d'aliments pour animaux;Industries alimentaires;Industrie manufacturière
Construction de véhicules militaires de combat;Construction de véhicules militaires de combat;Construction de véhicules militaires de combat;Fabrication d'autres matériels de transport;Industrie manufacturière
Études de marché et sondages;Études de marché et sondages;Études de marché et sondages;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Reproduction de plantes;Reproduction de plantes;Reproduction de plantes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Activités de soutien à l'extraction d'hydrocarbures;Activités de soutien à l'extraction d'hydrocarbures;Activités de soutien à l'extraction d'hydrocarbures;Services de soutien aux industries extractives;Industries extractives
Activités générales de sécurité sociale;Sécurité sociale obligatoire;Sécurité sociale obligatoire;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Recherche-développement en autres sciences physiques et naturelles;Recherche-développement en autres sciences physiques et naturelles;Recherche-développement en sciences physiques et naturelles;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Administration d'immeubles et autres biens immobiliers;Administration de biens immobiliers;Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Extraction de pétrole brut;Extraction de pétrole brut;Extraction de pétrole brut;Extraction d'hydrocarbures;Industries extractives
