classeActivite;groupeActivite;divisionActivite;sectionActivite
Commerce de gros de machines pour l'industrie textile et l'habillement;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'équipements hydrauliques et pneumatiques;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels;Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location et location-bail de machines de bureau et de matériel informatique;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Sécurité sociale obligatoire;Sécurité sociale obligatoire;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Réparation d'autres biens personnels et domestiques;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Autres services auxiliaires des transports;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Tréfilage à froid;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Métallurgie de l'aluminium;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Commerce de détail de boissons en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication d'aliments pour animaux de compagnie;Fabrication d'aliments pour animaux;Industries alimentaires;Industrie manufacturière
Fabrication de placage et de panneaux de bois;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Fabrication de malt;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Culture de fruits tropicaux et subtropicaux;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de fûts et emballages métalliques similaires;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Activités de soutien à la production animale;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Édition de jeux électroniques;Édition de logiciels;Édition;Information et communication
Arts du spectacle vivant;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Réparation de meubles et d'équipements du foyer;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Fabrication de matériel de levage et de manutention;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités d'ordre public et de sécurité;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Élevage de porcins;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Culture de fruits oléagineux;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;Activités administratives;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités extra-territoriales
Élevage de chameaux et d'autres camélidés;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication d'autres produits minéraux non métalliques n.c.a.;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication d'articles de papeterie;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Réparation d'équipements électriques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication de biscuits, biscottes et pâtisseries de conservation;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Recherche-développement en autres sciences physiques et naturelles;Recherche-développement en sciences physiques et naturelles;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Fabrication d'articles de brosserie;Activités manufacturières n.c.a.;Autres industries manufacturières;Industrie manufacturière
Autre transformation et conservation de fruits et légumes;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Commerce de gros de produits pharmaceutiques;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Entretien corporel;Autres services personnels;Autres services personnels;Autres activités de services
Fabrication d'appareils d'éclairage électrique;Fabrication d'appareils d'éclairage électrique;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de colorants et de pigments;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Activités de location et location-bail;Activités de services administratifs et de soutien
Construction de voies ferrées de surface et souterraines;Construction de routes et de voies ferrées;Génie civil;Construction
Traitement et élimination des déchets dangereux;Traitement et élimination des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication d'autres équipements automobiles;Fabrication d'équipements automobiles;Industrie automobile;Industrie manufacturière
Évaluation des risques et dommages;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Sylviculture et autres activités forestières;Sylviculture et autres activités forestières;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Construction de réseaux électriques et de télécommunications;Construction de réseaux et de lignes;Génie civil;Construction
Sidérurgie;Sidérurgie;Métallurgie;Industrie manufacturière
Enseignement supérieur;Enseignement supérieur et post-secondaire non supérieur;Enseignement;Enseignement
Activités des organisations associatives n.c.a.;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Autres commerces de détail alimentaires en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de tapis et moquettes;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Autres assurances;Assurance;Assurance;Activités financières et d'assurance
Fabrication de peintures, vernis, encres et mastics;Fabrication de peintures, vernis, encres et mastics;Industrie chimique;Industrie manufacturière
Fabrication de papier et de carton;Fabrication de pâte à papier, de papier et de carton;Industrie du papier et du carton;Industrie manufacturière
Fabrication de matériels optique et photographique;Fabrication de matériels optique et photographique;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Administration de biens immobiliers;Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Fabrication de glaces et sorbets;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Cokéfaction;Cokéfaction;Cokéfaction et raffinage;Industrie manufacturière
Entretien et réparation de véhicules automobiles;Entretien et réparation de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autre imprimerie (labeur);Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication de bière;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Fabrication d'appareils électroménagers;Fabrication d'appareils ménagers;Fabrication d'équipements électriques;Industrie manufacturière
Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Extraction de pierres, de sables et d'argiles;Autres industries extractives;Industries extractives
Justice;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Culture du tabac;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Gestion des jardins botaniques et zoologiques et des réserves naturelles;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
